,class,pred
0,RSCVN,BYDra
1,BYDra,BYDra
2,BYDra,BYDra
3,RSCVN,RSCVN
4,BYDra,RSCVN
5,BYDra,RSCVN
6,BYDra,BYDra
7,RSCVN,BYDra
8,RSCVN,RSCVN
9,BYDra,BYDra
10,RSCVN,BYDra
11,RSCVN,BYDra
12,BYDra,BYDra
13,BYDra,RSCVN
14,BYDra,BYDra
15,RSCVN,RSCVN
16,RSCVN,RSCVN
17,RSCVN,RSCVN
18,BYDra,BYDra
19,BYDra,RSCVN
20,RSCVN,RSCVN
21,BYDra,BYDra
22,RSCVN,RSCVN
23,RSCVN,BYDra
24,RSCVN,RSCVN
25,RSCVN,RSCVN
26,BYDra,BYDra
27,RSCVN,RSCVN
28,BYDra,BYDra
29,BYDra,RSCVN
30,RSCVN,RSCVN
31,BYDra,RSCVN
32,RSCVN,RSCVN
33,RSCVN,RSCVN
34,BYDra,BYDra
35,BYDra,BYDra
36,BYDra,BYDra
37,RSCVN,RSCVN
38,RSCVN,RSCVN
39,RSCVN,RSCVN
40,BYDra,BYDra
41,BYDra,BYDra
42,BYDra,BYDra
43,BYDra,BYDra
44,RSCVN,BYDra
45,BYDra,BYDra
46,BYDra,RSCVN
47,RSCVN,BYDra
48,RSCVN,BYDra
49,RSCVN,RSCVN
50,RSCVN,BYDra
51,BYDra,BYDra
52,BYDra,RSCVN
53,RSCVN,RSCVN
54,RSCVN,BYDra
55,BYDra,BYDra
56,BYDra,BYDra
57,BYDra,BYDra
58,RSCVN,BYDra
59,BYDra,BYDra
60,BYDra,BYDra
61,BYDra,BYDra
62,BYDra,BYDra
63,BYDra,BYDra
64,BYDra,BYDra
65,BYDra,BYDra
66,BYDra,BYDra
67,BYDra,BYDra
68,BYDra,BYDra
69,RSCVN,RSCVN
70,RSCVN,RSCVN
71,BYDra,BYDra
72,RSCVN,BYDra
73,BYDra,BYDra
74,BYDra,BYDra
75,BYDra,BYDra
76,RSCVN,BYDra
77,BYDra,BYDra
78,RSCVN,RSCVN
79,BYDra,BYDra
80,RSCVN,RSCVN
81,RSCVN,RSCVN
82,RSCVN,RSCVN
83,RSCVN,RSCVN
84,BYDra,BYDra
85,RSCVN,RSCVN
86,RSCVN,RSCVN
87,BYDra,RSCVN
88,RSCVN,RSCVN
89,RSCVN,BYDra
90,RSCVN,BYDra
91,BYDra,BYDra
92,RSCVN,BYDra
93,BYDra,BYDra
94,BYDra,BYDra
95,RSCVN,RSCVN
96,BYDra,BYDra
97,BYDra,BYDra
98,RSCVN,BYDra
99,RSCVN,RSCVN
100,BYDra,BYDra
101,BYDra,BYDra
102,RSCVN,RSCVN
103,BYDra,BYDra
104,BYDra,BYDra
105,BYDra,BYDra
106,BYDra,BYDra
107,BYDra,BYDra
108,BYDra,BYDra
109,BYDra,BYDra
110,BYDra,BYDra
111,BYDra,RSCVN
112,BYDra,RSCVN
113,BYDra,BYDra
114,RSCVN,RSCVN
115,RSCVN,RSCVN
116,BYDra,BYDra
117,RSCVN,BYDra
118,RSCVN,RSCVN
119,BYDra,BYDra
120,BYDra,BYDra
121,RSCVN,BYDra
122,BYDra,BYDra
123,RSCVN,RSCVN
124,RSCVN,BYDra
125,RSCVN,BYDra
126,BYDra,BYDra
127,RSCVN,RSCVN
128,RSCVN,BYDra
129,BYDra,BYDra
130,BYDra,BYDra
131,RSCVN,RSCVN
132,RSCVN,RSCVN
133,BYDra,RSCVN
134,BYDra,BYDra
135,RSCVN,RSCVN
136,BYDra,BYDra
137,BYDra,BYDra
138,RSCVN,RSCVN
139,RSCVN,BYDra
140,BYDra,BYDra
141,RSCVN,RSCVN
142,BYDra,BYDra
143,BYDra,BYDra
144,BYDra,BYDra
145,BYDra,RSCVN
146,BYDra,BYDra
147,RSCVN,RSCVN
148,RSCVN,RSCVN
149,RSCVN,RSCVN
150,RSCVN,BYDra
151,BYDra,BYDra
152,RSCVN,BYDra
153,RSCVN,BYDra
154,BYDra,BYDra
155,RSCVN,BYDra
156,RSCVN,RSCVN
157,RSCVN,BYDra
158,BYDra,BYDra
159,RSCVN,RSCVN
160,BYDra,BYDra
161,BYDra,BYDra
162,RSCVN,RSCVN
163,RSCVN,RSCVN
164,BYDra,RSCVN
165,BYDra,BYDra
166,BYDra,BYDra
167,BYDra,BYDra
168,RSCVN,RSCVN
169,RSCVN,BYDra
170,BYDra,BYDra
171,BYDra,RSCVN
172,BYDra,BYDra
173,RSCVN,BYDra
174,BYDra,BYDra
175,BYDra,BYDra
176,RSCVN,RSCVN
177,BYDra,BYDra
178,RSCVN,BYDra
179,RSCVN,BYDra
180,BYDra,RSCVN
181,BYDra,BYDra
182,BYDra,BYDra
183,RSCVN,BYDra
184,BYDra,RSCVN
185,BYDra,BYDra
186,BYDra,BYDra
187,BYDra,RSCVN
188,RSCVN,RSCVN
189,RSCVN,RSCVN
190,RSCVN,BYDra
191,BYDra,BYDra
192,RSCVN,BYDra
193,RSCVN,BYDra
194,RSCVN,RSCVN
195,BYDra,BYDra
196,BYDra,BYDra
197,BYDra,BYDra
198,BYDra,BYDra
199,RSCVN,BYDra
200,BYDra,BYDra
201,RSCVN,RSCVN
202,BYDra,BYDra
203,RSCVN,BYDra
204,BYDra,RSCVN
205,RSCVN,RSCVN
206,BYDra,BYDra
