num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
3,"(6, 18, 27)",[0.61141353 0.64987923 0.69491389 0.63210204 0.71202583],0.660066903960083,"('Psi_eta_r', 'AndersonDarling_r', 'Rcs_r')",0.04866151136158649,0.037860309030791246,0.018930154515395623
4,"(6, 18, 19, 27)",[0.61141353 0.64987923 0.69491389 0.63210204 0.71202583],0.660066903960083,"('Psi_eta_r', 'AndersonDarling_r', 'Autocor_length_r', 'Rcs_r')",0.04866151136158649,0.037860309030791246,0.018930154515395623
5,"(6, 18, 19, 27, 30)",[0.61141353 0.64987923 0.69491389 0.63210204 0.71202583],0.660066903960083,"('Psi_eta_r', 'AndersonDarling_r', 'Autocor_length_r', 'Rcs_r', 'StetsonK_r')",0.04866151136158649,0.037860309030791246,0.018930154515395623
6,"(6, 18, 19, 27, 30, 31)",[0.61141353 0.64987923 0.69491389 0.63210204 0.71202583],0.660066903960083,"('Psi_eta_r', 'AndersonDarling_r', 'Autocor_length_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.04866151136158649,0.037860309030791246,0.018930154515395623
2,"(6, 27)",[0.61141353 0.64987923 0.69491389 0.63210204 0.71202583],0.660066903960083,"('Psi_eta_r', 'Rcs_r')",0.04866151136158649,0.037860309030791246,0.018930154515395623
7,"(6, 18, 19, 23, 27, 30, 31)",[0.60229018 0.64987923 0.69491389 0.63210204 0.71202583],0.658242234319958,"('Psi_eta_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.05180014758981597,0.040302274646142236,0.020151137323071115
8,"(6, 18, 19, 20, 23, 27, 30, 31)",[0.60686079 0.65004829 0.69476651 0.62753305 0.69867904],0.6555775340441561,"('Psi_eta_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.04663995297125238,0.03628746792412853,0.018143733962064264
11,"(6, 15, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.58925297 0.66324373 0.69933391 0.64003228 0.67095183],0.6525629458832909,"('Psi_eta_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.047416345306023094,0.03689152753717953,0.018445763768589765
9,"(6, 18, 19, 20, 23, 26, 27, 30, 31)",[0.60260729 0.65459739 0.69048337 0.62672179 0.67424119],0.6497302081408612,"('Psi_eta_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.040787507970915196,0.03173406688707429,0.01586703344353714
13,"(5, 6, 15, 16, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.58035714 0.66365008 0.6899595  0.6366544  0.6666532 ],0.6474548627467864,"('Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.04828405125996038,0.037566632248165886,0.018783316124082943
10,"(6, 15, 18, 19, 20, 23, 26, 27, 30, 31)",[0.58481315 0.64433812 0.67660329 0.64965356 0.66702986],0.6444875965974896,"('Psi_eta_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.041158699838513745,0.03202286677067369,0.016011433385336844
16,"(0, 5, 6, 13, 15, 16, 18, 19, 20, 21, 23, 24, 26, 27, 30, 31)",[0.5668866  0.6501609  0.67524272 0.66815476 0.65445837],0.6429806709152588,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.05026843525457669,0.039110550412023756,0.019555275206011878
12,"(5, 6, 15, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.58032369 0.65913113 0.68609234 0.65902141 0.63013754],0.6429412220787991,"('Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.0462261621471135,0.03596552460511419,0.01798276230255709
15,"(0, 5, 6, 13, 15, 16, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.5668866  0.64119067 0.68578905 0.66365008 0.64863445],0.641230169123052,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.05163587281044913,0.040174463286840656,0.020087231643420324
17,"(0, 5, 6, 13, 14, 15, 16, 18, 19, 20, 21, 23, 24, 26, 27, 30, 31)",[0.5532509  0.65468074 0.67996685 0.65913113 0.65902141],0.6412102066530256,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.05764861870198835,0.04485258386319822,0.022426291931599108
14,"(5, 6, 13, 15, 16, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.58035714 0.64119067 0.68097282 0.65459739 0.64433812],0.6402912271887241,"('Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.04250773580134855,0.03307246258094471,0.016536231290472353
20,"(0, 5, 6, 7, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 30, 31)",[0.55760369 0.65459739 0.69018423 0.64548327 0.60936273],0.631446261514621,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.05783400654187256,0.04499682190086237,0.022498410950431185
18,"(0, 5, 6, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 30, 31)",[0.56124081 0.63674208 0.66702986 0.61883408 0.65902141],0.628573647514018,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.04843770406749745,0.03768617935252061,0.018843089676260305
19,"(0, 5, 6, 7, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 30, 31)",[0.55802691 0.6452834  0.67996685 0.63650816 0.5963395 ],0.6232249633033077,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.0540931122979589,0.04208627908862487,0.02104313954431243
21,"(0, 5, 6, 7, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 30, 31, 32)",[0.5578154  0.66815476 0.69836271 0.6139694  0.57778762],0.6232179792320162,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r', 'ExcessVar_r')",0.06823671240529333,0.053090480476712526,0.026545240238356263
1,"(6,)",[0.54464286 0.65468074 0.68578905 0.5914024  0.62760671],0.6208243518985082,"('Psi_eta_r',)",0.06318074780186872,0.04915676824751314,0.02457838412375657
23,"(0, 1, 5, 6, 7, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 30, 31, 32)",[0.59367712 0.66324373 0.60936273 0.59110601 0.61880342],0.6152386014201519,"('MHPS_ratio_r', 'MHPS_low_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_6_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r', 'ExcessVar_r')",0.03351138755845055,0.026072998012451925,0.01303649900622596
